"Layer","Designator","Center-Y(mm)","Center-X(mm)","Comment","Footprint","Rotation","Description"
"TopLayer","C19","15.4500","105.2250","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C20","16.9500","105.2250","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C21","52.5500","119.2750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C22","60.2500","119.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C23","59.0000","119.3000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C24","52.5250","126.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C25","58.9750","126.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C26","60.2250","126.3000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C27","48.8750","105.1000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C28","51.1250","99.3000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C29","51.1250","97.8000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C30","25.4500","103.9000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C31","27.7500","107.7000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
